"name","namespace","rootEntityType","methodName","methodVersion","methodNamespace","methodUri","sourceRepo","workspace_key","methodPath","name_key"
"gdc_file_downloader__RNAseq__HTSEQFPKMUQ__gene_expression_quantification__txt__cfg","broadinstitute_cga","sample","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__RNAseq__HTSEQFPKMUQ__gene_expression_quantification__txt__cfg:broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA"
"gdc_file_downloader__RNAseq__HTSeqFPKM__gene_expression_quantification__txt__cfg","broadinstitute_cga","sample","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__RNAseq__HTSeqFPKM__gene_expression_quantification__txt__cfg:broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA"
"gdc_file_downloader__WXS__MuSEAggrMask__masked_somatic_mutation__maf__cfg","broadinstitute_cga","sample","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__WXS__MuSEAggrMask__masked_somatic_mutation__maf__cfg:broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA"
"gdc_file_downloader__WXS__MuTect2AggrMask__masked_somatic_mutation__maf__cfg","broadinstitute_cga","sample","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__WXS__MuTect2AggrMask__masked_somatic_mutation__maf__cfg:broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA"
"gdc_file_downloader__WXS__SomSnipAggrMask__masked_somatic_mutation__maf__cfg","broadinstitute_cga","sample","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__WXS__SomSnipAggrMask__masked_somatic_mutation__maf__cfg:broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA"
"gdc_file_downloader__WXS__VarScan2AggrMask__masked_somatic_mutation__maf__cfg","broadinstitute_cga","sample","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__WXS__VarScan2AggrMask__masked_somatic_mutation__maf__cfg:broad-firecloud-tcga/TCGA_LAML_hg38_OpenAccess_GDCDR-12-0_DATA"
"aggregate_seg","broadgdac","pair_set","aggregate_data","7","broadgdac","agora://broadgdac/aggregate_data/7","agora","getz-lab-publications/REBC_methods_only",NA,"aggregate_seg:getz-lab-publications/REBC_methods_only"
"aggregate_seg_acs","broadgdac","pair_set","aggregate_data","7","broadgdac","agora://broadgdac/aggregate_data/7","agora","getz-lab-publications/REBC_methods_only",NA,"aggregate_seg_acs:getz-lab-publications/REBC_methods_only"
"CopyNumber_Gistic2_hg19","broadgdac","sample_set","copy_number_gistic2","23","broadgdac","agora://broadgdac/copy_number_gistic2/23","agora","getz-lab-publications/REBC_methods_only",NA,"CopyNumber_Gistic2_hg19:getz-lab-publications/REBC_methods_only"
"CopyNumber_Gistic2_hg19_GATK414","broadgdac","pair_set","copy_number_gistic2","24","broadgdac","agora://broadgdac/copy_number_gistic2/24","agora","getz-lab-publications/REBC_methods_only",NA,"CopyNumber_Gistic2_hg19_GATK414:getz-lab-publications/REBC_methods_only"
"detin_v1.8","broadinstitute_cga","pair","detin_v1.0","10","broadinstitute_cga","agora://broadinstitute_cga/detin_v1.0/10","agora","getz-lab-publications/REBC_methods_only",NA,"detin_v1.8:getz-lab-publications/REBC_methods_only"
"dRanger_pipette_WGS","Broad_CGA_GP_WGS","pair","dRanger_pipette_WGS","1","Broad_CGA_GP_WGS","agora://Broad_CGA_GP_WGS/dRanger_pipette_WGS/1","agora","getz-lab-publications/REBC_methods_only",NA,"dRanger_pipette_WGS:getz-lab-publications/REBC_methods_only"
"SV_cluster_forBP_emptySVFiles","cchu","pair","SV_cluster_forBP_emptySVFiles","27","cchu","agora://cchu/SV_cluster_forBP_emptySVFiles/27","agora","getz-lab-publications/REBC_methods_only",NA,"SV_cluster_forBP_emptySVFiles:getz-lab-publications/REBC_methods_only"
"absolute","dlivitz","pair","absolute","10","dlivitz","agora://dlivitz/absolute/10","agora","getz-lab-publications/REBC_methods_only",NA,"absolute:getz-lab-publications/REBC_methods_only"
"absolute_extract","dlivitz","pair","absolute_extract","13","dlivitz","agora://dlivitz/absolute_extract/13","agora","getz-lab-publications/REBC_methods_only",NA,"absolute_extract:getz-lab-publications/REBC_methods_only"
"freebayes","erictdawson","sample","freebayes","1","erictdawson","agora://erictdawson/freebayes/1","agora","getz-lab-publications/REBC_methods_only",NA,"freebayes:getz-lab-publications/REBC_methods_only"
"strelka2","erictdawson","pair","strelka","2","erictdawson","agora://erictdawson/strelka/2","agora","getz-lab-publications/REBC_methods_only",NA,"strelka2:getz-lab-publications/REBC_methods_only"
"SvABA_blacklist","erictdawson","pair","SvABA_blacklist","3","erictdawson","agora://erictdawson/SvABA_blacklist/3","agora","getz-lab-publications/REBC_methods_only",NA,"SvABA_blacklist:getz-lab-publications/REBC_methods_only"
"telomerecat","erictdawson","sample","telomerecat","3","erictdawson","agora://erictdawson/telomerecat/3","agora","getz-lab-publications/REBC_methods_only",NA,"telomerecat:getz-lab-publications/REBC_methods_only"
"telseq","erictdawson","sample","telseq","3","erictdawson","agora://erictdawson/telseq/3","agora","getz-lab-publications/REBC_methods_only",NA,"telseq:getz-lab-publications/REBC_methods_only"
"allelic_Capseg_WGS","esalinas","pair","allelic_Capseg_WGS","3","esalinas","agora://esalinas/allelic_Capseg_WGS/3","agora","getz-lab-publications/REBC_methods_only",NA,"allelic_Capseg_WGS:getz-lab-publications/REBC_methods_only"
"ReCapSeg_WGS_with_GC_Corrected_Coverage","esalinas","pair","ReCapSeg_WGS_with_GC_Corrected_Coverage","5","esalinas","agora://esalinas/ReCapSeg_WGS_with_GC_Corrected_Coverage/5","agora","getz-lab-publications/REBC_methods_only",NA,"ReCapSeg_WGS_with_GC_Corrected_Coverage:getz-lab-publications/REBC_methods_only"
"token_pon_size_update","esalinas","pair_set","token_pon_size_update","10","esalinas","agora://esalinas/token_pon_size_update/10","agora","getz-lab-publications/REBC_methods_only",NA,"token_pon_size_update:getz-lab-publications/REBC_methods_only"
"CNV_Somatic_Pair_Workflow","gatk","pair","CNV_Somatic_Pair_Workflow","7","gatk","agora://gatk/CNV_Somatic_Pair_Workflow/7","agora","getz-lab-publications/REBC_methods_only",NA,"CNV_Somatic_Pair_Workflow:getz-lab-publications/REBC_methods_only"
"CNV_Somatic_Panel_Workflow","gatk","sample_set","CNV_Somatic_Panel_Workflow","9","gatk","agora://gatk/CNV_Somatic_Panel_Workflow/9","agora","getz-lab-publications/REBC_methods_only",NA,"CNV_Somatic_Panel_Workflow:getz-lab-publications/REBC_methods_only"
"mutect2-gatk4","gatk","pair","mutect2-gatk4","13","gatk","agora://gatk/mutect2-gatk4/13","agora","getz-lab-publications/REBC_methods_only",NA,"mutect2-gatk4:getz-lab-publications/REBC_methods_only"
"1-CNV_Somatic_Panel_gatk414","help-gatk","sample_set",NA,"1.4.0",NA,"dockstore://github.com%2Fgatk-workflows%2Fgatk4-somatic-cnvs%2Fcnv_somatic_panel_workflow/1.4.0","dockstore","getz-lab-publications/REBC_methods_only","github.com/gatk-workflows/gatk4-somatic-cnvs/cnv_somatic_panel_workflow","1-CNV_Somatic_Panel_gatk414:getz-lab-publications/REBC_methods_only"
"2-CNV_Somatic_Pair_gatk414","help-gatk","pair",NA,"1.4.0",NA,"dockstore://github.com%2Fgatk-workflows%2Fgatk4-somatic-cnvs%2Fcnv_somatic_pair_workflow/1.4.0","dockstore","getz-lab-publications/REBC_methods_only","github.com/gatk-workflows/gatk4-somatic-cnvs/cnv_somatic_pair_workflow","2-CNV_Somatic_Pair_gatk414:getz-lab-publications/REBC_methods_only"
"calculate-contamination","leventhal","sample","calculate-contamination","6","leventhal","agora://leventhal/calculate-contamination/6","agora","getz-lab-publications/REBC_methods_only",NA,"calculate-contamination:getz-lab-publications/REBC_methods_only"
"3-CNV_Model_Segments_PostProcessing_canonical_gatk414","lichtens","pair","Model_Segments_PostProcessing","5","lichtens","agora://lichtens/Model_Segments_PostProcessing/5","agora","getz-lab-publications/REBC_methods_only",NA,"3-CNV_Model_Segments_PostProcessing_canonical_gatk414:getz-lab-publications/REBC_methods_only"
"Aggregate_Model_Segments_PostProcessing_canonical_GATK414","lichtens","pair_set","Aggregate_Model_Segments_PostProcessing","1","lichtens","agora://lichtens/Aggregate_Model_Segments_PostProcessing/1","agora","getz-lab-publications/REBC_methods_only",NA,"Aggregate_Model_Segments_PostProcessing_canonical_GATK414:getz-lab-publications/REBC_methods_only"
"Model_Segments_PostProcessing_canonical_gatk414","lichtens","pair","Model_Segments_PostProcessing","5","lichtens","agora://lichtens/Model_Segments_PostProcessing/5","agora","getz-lab-publications/REBC_methods_only",NA,"Model_Segments_PostProcessing_canonical_gatk414:getz-lab-publications/REBC_methods_only"
"absolute_forcecall_maf_fpc","stewart","pair","absolute_forcecall_maf_fpc","7","stewart","agora://stewart/absolute_forcecall_maf_fpc/7","agora","getz-lab-publications/REBC_methods_only",NA,"absolute_forcecall_maf_fpc:getz-lab-publications/REBC_methods_only"
"acnv_to_acs","stewart","pair","acnv_to_acs","2","stewart","agora://stewart/acnv_to_acs/2","agora","getz-lab-publications/REBC_methods_only",NA,"acnv_to_acs:getz-lab-publications/REBC_methods_only"
"aggregate_BP","stewart","pair_set","aggregate_dranger","4","stewart","agora://stewart/aggregate_dranger/4","agora","getz-lab-publications/REBC_methods_only",NA,"aggregate_BP:getz-lab-publications/REBC_methods_only"
"aggregate_dranger_consensus","stewart","pair_set","aggregate_dranger","4","stewart","agora://stewart/aggregate_dranger/4","agora","getz-lab-publications/REBC_methods_only",NA,"aggregate_dranger_consensus:getz-lab-publications/REBC_methods_only"
"AllelicCapSeg_PP_CCF_fit_v3","stewart","pair","AllelicCapSeg_PP_CCF_fit_v3","3","stewart","agora://stewart/AllelicCapSeg_PP_CCF_fit_v3/3","agora","getz-lab-publications/REBC_methods_only",NA,"AllelicCapSeg_PP_CCF_fit_v3:getz-lab-publications/REBC_methods_only"
"bam_header","stewart","sample","bam_header","1","stewart","agora://stewart/bam_header/1","agora","getz-lab-publications/REBC_methods_only",NA,"bam_header:getz-lab-publications/REBC_methods_only"
"breakpointer","stewart","pair","breakpointer","1","stewart","agora://stewart/breakpointer/1","agora","getz-lab-publications/REBC_methods_only",NA,"breakpointer:getz-lab-publications/REBC_methods_only"
"Breakpointer_fix_sample","stewart","pair","Breakpointer_fix_sample","1","stewart","agora://stewart/Breakpointer_fix_sample/1","agora","getz-lab-publications/REBC_methods_only",NA,"Breakpointer_fix_sample:getz-lab-publications/REBC_methods_only"
"CollectAlignmentSummaryMetrics","stewart","sample","CollectAlignmentSummaryMetrics","6","stewart","agora://stewart/CollectAlignmentSummaryMetrics/6","agora","getz-lab-publications/REBC_methods_only",NA,"CollectAlignmentSummaryMetrics:getz-lab-publications/REBC_methods_only"
"consensus_1orMore_maf","stewart","pair","consensus_maf","1","stewart","agora://stewart/consensus_maf/1","agora","getz-lab-publications/REBC_methods_only",NA,"consensus_1orMore_maf:getz-lab-publications/REBC_methods_only"
"consensus_fix_maf","stewart","pair","consensus_fix_maf","1","stewart","agora://stewart/consensus_fix_maf/1","agora","getz-lab-publications/REBC_methods_only",NA,"consensus_fix_maf:getz-lab-publications/REBC_methods_only"
"consensus_maf","stewart","pair","consensus_maf","1","stewart","agora://stewart/consensus_maf/1","agora","getz-lab-publications/REBC_methods_only",NA,"consensus_maf:getz-lab-publications/REBC_methods_only"
"contEstFile2value","stewart","pair","file2value","1","stewart","agora://stewart/file2value/1","agora","getz-lab-publications/REBC_methods_only",NA,"contEstFile2value:getz-lab-publications/REBC_methods_only"
"contest_oxoG_PoN_blat_Filter_Workflow","stewart","pair","contest_oxoG_PoN_blat_Filter_Workflow","5","stewart","agora://stewart/contest_oxoG_PoN_blat_Filter_Workflow/5","agora","getz-lab-publications/REBC_methods_only",NA,"contest_oxoG_PoN_blat_Filter_Workflow:getz-lab-publications/REBC_methods_only"
"dRangerDetailsFilter","stewart","pair","dRangerDetailsFilter","1","stewart","agora://stewart/dRangerDetailsFilter/1","agora","getz-lab-publications/REBC_methods_only",NA,"dRangerDetailsFilter:getz-lab-publications/REBC_methods_only"
"extract_dRanger_intermediates","stewart","pair","extract_dRanger_intermediates","1","stewart","agora://stewart/extract_dRanger_intermediates/1","agora","getz-lab-publications/REBC_methods_only",NA,"extract_dRanger_intermediates:getz-lab-publications/REBC_methods_only"
"file2value","stewart","pair","file2value","1","stewart","agora://stewart/file2value/1","agora","getz-lab-publications/REBC_methods_only",NA,"file2value:getz-lab-publications/REBC_methods_only"
"Filter_call_stats","stewart","pair","Filter_call_stats","15","stewart","agora://stewart/Filter_call_stats/15","agora","getz-lab-publications/REBC_methods_only",NA,"Filter_call_stats:getz-lab-publications/REBC_methods_only"
"GATK4_CNV_CombineTracks_Workflow","stewart","pair","GATK4_CNV_CombineTracks_Workflow","1","stewart","agora://stewart/GATK4_CNV_CombineTracks_Workflow/1","agora","getz-lab-publications/REBC_methods_only",NA,"GATK4_CNV_CombineTracks_Workflow:getz-lab-publications/REBC_methods_only"
"get_TERT_from_callstats","stewart","pair","get_region_from_callstats","1","stewart","agora://stewart/get_region_from_callstats/1","agora","getz-lab-publications/REBC_methods_only",NA,"get_TERT_from_callstats:getz-lab-publications/REBC_methods_only"
"maflite_merge_maf_workflow","stewart","pair","maflite_merge_maf_workflow","10","stewart","agora://stewart/maflite_merge_maf_workflow/10","agora","getz-lab-publications/REBC_methods_only",NA,"maflite_merge_maf_workflow:getz-lab-publications/REBC_methods_only"
"MAF_AC_PP_CCF_fit_v3","stewart","pair","MAF_AC_PP_CCF_fit_v3","1","stewart","agora://stewart/MAF_AC_PP_CCF_fit_v3/1","agora","getz-lab-publications/REBC_methods_only",NA,"MAF_AC_PP_CCF_fit_v3:getz-lab-publications/REBC_methods_only"
"manta","stewart","pair","manta","1","stewart","agora://stewart/manta/1","agora","getz-lab-publications/REBC_methods_only",NA,"manta:getz-lab-publications/REBC_methods_only"
"mantavcf2dRangerForBP","stewart","pair","mantavcf2dRangerForBP","4","stewart","agora://stewart/mantavcf2dRangerForBP/4","agora","getz-lab-publications/REBC_methods_only",NA,"mantavcf2dRangerForBP:getz-lab-publications/REBC_methods_only"
"merge_maflite2_workflow","stewart","pair","merge_maflite2_workflow","3","stewart","agora://stewart/merge_maflite2_workflow/3","agora","getz-lab-publications/REBC_methods_only",NA,"merge_maflite2_workflow:getz-lab-publications/REBC_methods_only"
"Mutect1_ForceCall_TERT","stewart","pair","Mutect1_ForceCall","3","stewart","agora://stewart/Mutect1_ForceCall/3","agora","getz-lab-publications/REBC_methods_only",NA,"Mutect1_ForceCall_TERT:getz-lab-publications/REBC_methods_only"
"parse_picard_metric_PF_HQ_ERROR_RATE","stewart","sample","parse_picard_metric","3","stewart","agora://stewart/parse_picard_metric/3","agora","getz-lab-publications/REBC_methods_only",NA,"parse_picard_metric_PF_HQ_ERROR_RATE:getz-lab-publications/REBC_methods_only"
"parse_wgs_metrics_ MEDIAN_COVERAGE","stewart","sample","parse_picard_metric","3","stewart","agora://stewart/parse_picard_metric/3","agora","getz-lab-publications/REBC_methods_only",NA,"parse_wgs_metrics_ MEDIAN_COVERAGE:getz-lab-publications/REBC_methods_only"
"pcawg_snowmanvcf2dRangerForBP","stewart","pair","pcawg_snowmanvcf2dRangerForBP","4","stewart","agora://stewart/pcawg_snowmanvcf2dRangerForBP/4","agora","getz-lab-publications/REBC_methods_only",NA,"pcawg_snowmanvcf2dRangerForBP:getz-lab-publications/REBC_methods_only"
"Picard_SequencingMetrics_Workflow","stewart","sample","Picard_SequencingMetrics_Workflow","9","stewart","agora://stewart/Picard_SequencingMetrics_Workflow/9","agora","getz-lab-publications/REBC_methods_only",NA,"Picard_SequencingMetrics_Workflow:getz-lab-publications/REBC_methods_only"
"pipette_wgs_SV","stewart","pair","pipette_wgs_SV","16","stewart","agora://stewart/pipette_wgs_SV/16","agora","getz-lab-publications/REBC_methods_only",NA,"pipette_wgs_SV:getz-lab-publications/REBC_methods_only"
"postFilter_contEst","stewart","pair","postFilter_contEst","5","stewart","agora://stewart/postFilter_contEst/5","agora","getz-lab-publications/REBC_methods_only",NA,"postFilter_contEst:getz-lab-publications/REBC_methods_only"
"preFilter_contEst","stewart","pair","postFilter_contEst","5","stewart","agora://stewart/postFilter_contEst/5","agora","getz-lab-publications/REBC_methods_only",NA,"preFilter_contEst:getz-lab-publications/REBC_methods_only"
"rebc_consensus_maf","stewart","pair","rebc_consensus_maf","1","stewart","agora://stewart/rebc_consensus_maf/1","agora","getz-lab-publications/REBC_methods_only",NA,"rebc_consensus_maf:getz-lab-publications/REBC_methods_only"
"REBC_SV_consensus_filter","stewart","pair","REBC_SV_consensus_filter","1","stewart","agora://stewart/REBC_SV_consensus_filter/1","agora","getz-lab-publications/REBC_methods_only",NA,"REBC_SV_consensus_filter:getz-lab-publications/REBC_methods_only"
"REBC_SV_consensus_filter_v3","stewart","pair","REBC_SV_consensus_filter","3","stewart","agora://stewart/REBC_SV_consensus_filter/3","agora","getz-lab-publications/REBC_methods_only",NA,"REBC_SV_consensus_filter_v3:getz-lab-publications/REBC_methods_only"
"strelka","stewart","pair","strelka","8","stewart","agora://stewart/strelka/8","agora","getz-lab-publications/REBC_methods_only",NA,"strelka:getz-lab-publications/REBC_methods_only"
"strelka2_maflite","stewart","pair","strelka2_maflite","2","stewart","agora://stewart/strelka2_maflite/2","agora","getz-lab-publications/REBC_methods_only",NA,"strelka2_maflite:getz-lab-publications/REBC_methods_only"
"strelka_maflite","stewart","pair","strelka_maflite","1","stewart","agora://stewart/strelka_maflite/1","agora","getz-lab-publications/REBC_methods_only",NA,"strelka_maflite:getz-lab-publications/REBC_methods_only"
"svaba_blacklist","stewart","pair","svaba_blacklist","1","stewart","agora://stewart/svaba_blacklist/1","agora","getz-lab-publications/REBC_methods_only",NA,"svaba_blacklist:getz-lab-publications/REBC_methods_only"
"svaba_snowmanvcf2dRangerForBP","stewart","pair","snowmanvcf2dRangerForBP","6","stewart","agora://stewart/snowmanvcf2dRangerForBP/6","agora","getz-lab-publications/REBC_methods_only",NA,"svaba_snowmanvcf2dRangerForBP:getz-lab-publications/REBC_methods_only"
"SvABA_xtramem","stewart","pair","SvABA_xtramem","1","stewart","agora://stewart/SvABA_xtramem/1","agora","getz-lab-publications/REBC_methods_only",NA,"SvABA_xtramem:getz-lab-publications/REBC_methods_only"
"SV_cluster_forBP","stewart","pair","SV_cluster_forBP","3","stewart","agora://stewart/SV_cluster_forBP/3","agora","getz-lab-publications/REBC_methods_only",NA,"SV_cluster_forBP:getz-lab-publications/REBC_methods_only"
"tsvcat_AllelicCapSeg_PP_CCF_fit_v3_collapsed","stewart","pair_set","tsvcat","2","stewart","agora://stewart/tsvcat/2","agora","getz-lab-publications/REBC_methods_only",NA,"tsvcat_AllelicCapSeg_PP_CCF_fit_v3_collapsed:getz-lab-publications/REBC_methods_only"
"tsvcat_MAF_AC_PP_CCF_fit_v3","stewart","pair_set","tsvcat","2","stewart","agora://stewart/tsvcat/2","agora","getz-lab-publications/REBC_methods_only",NA,"tsvcat_MAF_AC_PP_CCF_fit_v3:getz-lab-publications/REBC_methods_only"
"wgs_pip_m1_fragcounter_oxoq_1","stewart","pair","wgs_pip_m1_fragcounter_oxoq_1","2","stewart","agora://stewart/wgs_pip_m1_fragcounter_oxoq_1/2","agora","getz-lab-publications/REBC_methods_only",NA,"wgs_pip_m1_fragcounter_oxoq_1:getz-lab-publications/REBC_methods_only"
"wgs_pip_m2_64core","stewart","pair","wgs_pip_m2_64core","1","stewart","agora://stewart/wgs_pip_m2_64core/1","agora","getz-lab-publications/REBC_methods_only",NA,"wgs_pip_m2_64core:getz-lab-publications/REBC_methods_only"
"gdc_file_downloader__biospecimen_supplement__xlsx__cfg","broadinstitute_cga","participant","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TARGET_CCSK_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__biospecimen_supplement__xlsx__cfg:broad-firecloud-tcga/TARGET_CCSK_hg38_OpenAccess_GDCDR-12-0_DATA"
"gdc_file_downloader__clinical_supplement__xlsx__cfg","broadinstitute_cga","participant","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TARGET_CCSK_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__clinical_supplement__xlsx__cfg:broad-firecloud-tcga/TARGET_CCSK_hg38_OpenAccess_GDCDR-12-0_DATA"
"ScatterWithoutPeat","tidal-waves",NA,"ScatterWithoutPeat","4","tidal-waves","agora://tidal-waves/ScatterWithoutPeat/4","agora","tidal-waves/Peat-Demo",NA,"ScatterWithoutPeat:tidal-waves/Peat-Demo"
"ScatterWithPeat","tidal-waves",NA,"ScatterWithPeat","4","tidal-waves","agora://tidal-waves/ScatterWithPeat/4","agora","tidal-waves/Peat-Demo",NA,"ScatterWithPeat:tidal-waves/Peat-Demo"
"gdc_file_downloader__biospecimen_supplement__bcr_xml__cfg","broadinstitute_cga","participant","gdc_file_downloader","2","broadinstitute_cga","agora://broadinstitute_cga/gdc_file_downloader/2","agora","broad-firecloud-tcga/TCGA_THYM_hg38_OpenAccess_GDCDR-12-0_DATA",NA,"gdc_file_downloader__biospecimen_supplement__bcr_xml__cfg:broad-firecloud-tcga/TCGA_THYM_hg38_OpenAccess_GDCDR-12-0_DATA"
